,Precision,Recall,F1-Score,Support
count,76.0,76.0,76.0,76.0
mean,0.17475144840879753,0.15212034836256572,0.1446182459953215,355.69736842105266
std,0.2876271616840489,0.3112690817090269,0.27811957063620807,1300.2100140078585
min,0.0,0.0,0.0,1.0
25%,0.0,0.0,0.0,3.75
50%,0.0,0.0,0.0,22.0
75%,0.4182224428997021,0.05048459904407859,0.09066731141199226,86.0
max,0.9433656957928802,0.9856297548605241,0.9640347250930137,9464.0
