,Precision,Recall,F1-Score,Support
count,70.0,70.0,70.0,70.0
mean,0.18658196220143505,0.1543886108073358,0.14754311152162905,257.45714285714286
std,0.3039121646354894,0.3111012115491465,0.28125252362397024,903.1704974211727
min,0.0,0.0,0.0,1.0
25%,0.0,0.0,0.0,3.0
50%,0.0,0.0,0.0,17.0
75%,0.41250000000000003,0.07633399209486166,0.130808779909037,74.75
max,1.0,0.9823781552627401,0.9616161616161616,6299.0
